Insee - Statistiques locales; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Nom;Population municipale 2021;Médecin généraliste (en nombre) 2021
2151;Cerny-lès-Bucy;115;0
2152;Cerseuil;87;0
2153;Cessières-Suzy;785;0
2154;Chacrise;367;0
2155;Chaillevois;187;0
2156;Chalandry;250;0
2157;Chambry;832;0
2158;Chamouille;270;0
2159;Champs;304;0
2160;Chaourse;512;0
2162;La Chapelle-sur-Chézy;298;0
2163;Charly-sur-Marne;2581;4
2164;Le Charmel;326;0
2165;Charmes;1624;0
2166;Chartèves;358;0
2167;Chassemy;886;0
2168;Château-Thierry;15204;20
2169;Châtillon-lès-Sons;84;0
2170;Châtillon-sur-Oise;124;0
2171;Chaudardes;90;0
2172;Chaudun;251;0
2173;Chauny;11496;9
2174;Chavignon;841;0
2175;Chavigny;165;0
2176;Chavonne;207;0
2177;Chérêt;144;0
2178;Chermizy-Ailles;115;0
2179;Chéry-Chartreuve;379;0
2180;Chéry-lès-Pouilly;736;0
2181;Chéry-lès-Rozoy;91;0
2182;Chevennes;121;0
2183;Chevregny;185;0
2184;Chevresis-Monceau;340;0
2185;Chézy-en-Orxois;380;0
2186;Chézy-sur-Marne;1322;3
2187;Chierry;1157;0
2188;Chigny;143;0
2189;Chivres-en-Laonnois;349;0
2190;Chivres-Val;527;1
2191;Chivy-lès-Étouvelles;500;0
2192;Chouy;375;0
2193;Cierges;66;0
2194;Cilly;177;0
2195;Ciry-Salsogne;896;0
2196;Clacy-et-Thierret;300;0
2197;Clairfontaine;525;0
2198;Clamecy;233;0
2199;Clastres;593;0
2200;Clermont-les-Fermes;101;0
2201;Cœuvres-et-Valsery;458;0
2203;Coincy;1253;1
2204;Coingt;63;0
2205;Colligis-Crandelain;213;0
2206;Colonfay;73;0
2207;Commenchon;218;0
2208;Concevreux;260;0
2209;Condé-en-Brie;675;2
2210;Condé-sur-Aisne;358;0
2211;Condé-sur-Suippe;327;0
2212;Condren;692;0
2213;Connigis;330;0
2214;Contescourt;61;0
2215;Corbeny;846;0
2216;Corcy;304;0
2217;Coucy-le-Château-Auffrique;987;1
2218;Coucy-lès-Eppes;646;0
2219;Coucy-la-Ville;195;0
2220;Coulonges-Cohan;442;0
2221;Coupru;156;0
2222;Courbes;37;0
2223;Courboin;302;0
2224;Courcelles-sur-Vesle;344;0
2225;Courchamps;83;0
2226;Courmelles;1854;0
2227;Courmont;121;0
2228;Courtemont-Varennes;349;0
2229;Courtrizy-et-Fussigny;75;0
2230;Couvrelles;180;0
2231;Couvron-et-Aumencourt;936;0
2232;Coyolles;365;0
2233;Cramaille;139;0
2234;Craonne;83;0
2235;Craonnelle;114;0
2236;Crécy-au-Mont;326;0
2237;Crécy-sur-Serre;1503;2
2238;Crépy;1803;2
2239;Crézancy;1220;1
2240;Croix-Fonsomme;192;0
2241;La Croix-sur-Ourcq;90;0
2242;Crouttes-sur-Marne;624;0
2243;Crouy;2999;1
2244;Crupilly;64;0
2245;Cuffies;1787;2
2246;Cugny;603;0
2248;Cuirieux;155;0
2249;Cuiry-Housse;101;0
2250;Cuiry-lès-Chaudardes;76;0
2251;Cuiry-lès-Iviers;26;0
2252;Cuissy-et-Geny;71;0
2253;Cuisy-en-Almont;355;0
2254;Cutry;127;0
2255;Cys-la-Commune;157;0
2256;Dagny-Lambercy;128;0
2257;Dallon;438;0
2258;Dammard;372;0
2259;Dampleux;386;0
2260;Danizy;639;0
2261;Dercy;388;0
2262;Deuillet;207;0
2263;Dhuizel;113;0
2264;Dizy-le-Gros;726;0
2265;Dohis;88;0
2266;Dolignon;40;0
2267;Dommiers;301;0
2268;Domptin;625;0
2269;Dorengt;152;0
2270;Douchy;165;0
2271;Dravegny;130;0
2272;Droizy;76;0
2273;Dury;196;0
2274;Ébouleau;183;0
2275;Effry;316;0
2276;Englancourt;117;0
2277;Épagny;341;0
2278;Éparcy;32;0
2279;Épaux-Bézu;544;0
2280;Épieds;410;0
2281;L'Épine-aux-Bois;249;0
2282;Eppes;432;0
2283;Erlon;284;0
2284;Erloy;102;0
2286;Esquéhéries;855;0
2287;Essigny-le-Grand;1054;1
2288;Essigny-le-Petit;347;0
2289;Essises;411;0
2290;Essômes-sur-Marne;2719;4
2291;Estrées;409;0
2292;Étampes-sur-Marne;1335;0
2293;Étaves-et-Bocquiaux;548;0
2294;Étouvelles;207;0
2295;Étréaupont;848;0
2296;Étreillers;1182;2
2297;Étrépilly;125;0
2298;Étreux;1457;4
2299;Évergnicourt;529;0
2302;Faverolles;340;0
2303;Fayet;698;0
2304;La Fère;2850;7
2305;Fère-en-Tardenois;2925;2
2306;La Ferté-Chevresis;514;1
2307;La Ferté-Milon;2047;2
2308;Fesmy-le-Sart;503;0
2309;Festieux;695;0
